word1,word2,mean,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
あっけなく,苦労なく,4.8,3,6,5,3,7,8,7,6,8,9
あっけなく,ひとたまりもなく,5,5,7,7,0,6,7,4,4,3,0
あやしい,疑わしい,7.8,6,8,7,10,8,8,8,8,9,8
あやしい,怪しい,9.6,10,10,10,10,8,10,10,10,10,10
あやしく,疑わしく,8,8,9,8,7,8,9,8,7,9,8
あやしく,怪しく,10,10,10,10,10,10,10,10,10,10,10
あやしそう,怪しそう,10,10,10,10,10,10,10,10,10,10,10
いい加減に,荒々しく,5.8,5,8,8,2,6,0,4,2,3,6
いい匂いのする,芳ばしい,7,8,7,6,6,8,5,5,7,7,6
いかつくする,険しくする,7.2,7,6,10,7,6,9,4,6,3,0
いかつくする,怖くする,7.8,8,8,9,7,7,9,5,6,5,6
いかつくする,恐ろしくする,7.8,8,8,9,7,7,9,4,5,5,7
いかつくする,厳つくする,10,10,10,10,10,10,10,10,10,10,10
いぶかしく,怪しく,8,7,9,9,7,8,9,7,7,8,8
いぶかしく,疑わしく,8.2,8,9,9,7,8,9,8,8,8,9
いぶかしげ,怪しそう,7.8,8,9,8,6,8,9,7,8,8,8
いぶかしげ,あやしそう,8.4,8,9,9,8,8,9,7,8,8,9
うっとうしい,邪魔くさい,8.4,8,9,9,8,8,9,7,7,9,9
うっとうしい,面倒くさい,8.4,8,9,8,10,7,8,6,6,7,7
うっとうしい,わずらわしい,8.8,8,9,9,10,8,9,8,7,8,9
うっとうしく,じゃまくさく,9.2,8,10,10,10,8,9,7,8,9,9
うっとうしくて,うるさくて,7,8,5,9,5,8,3,3,4,7,9
うとましい,うっとうしい,8,8,10,10,3,9,9,4,9,8,2
うとましい,煩わしい,7.6,7,8,7,8,8,9,5,7,8,1
うとましい,わずらわしい,8.2,8,9,8,8,8,9,5,7,8,1
うるさく,激しく,3.6,1,6,3,2,6,7,2,2,2,2
うるさく,凄く,2.4,3,1,0,2,6,7,2,2,1,0
うるさく,騒がしく,7.8,6,8,8,9,8,9,5,9,7,9
うれしい,いい,5.8,8,7,4,4,6,7,3,5,8,8
うれしい,良い,6.2,6,6,8,5,6,7,3,5,8,8
うれしい,素晴らしい,6,7,6,5,5,7,6,3,4,7,7
うれしい,嬉しい,9.8,10,10,9,10,10,10,10,10,10,10
おいしく,芳ばしく,4.4,3,6,3,4,6,7,2,4,0,6
おかしい,尋常ではない,6.8,3,8,6,9,8,7,8,6,6,5
おかしい,おもしろおかしい,7.4,8,6,8,6,9,6,3,5,8,6
おかしくなって,弱くなって,2.4,4,2,0,3,3,7,2,3,0,5
