word1,  word2, mean, ano1, ano2, ano3, ano4, ano5, ano6, ano7, ano8, ano9, ano10
文献, 書籍ソース,6,6,5,7,6,6,8,3,5,7,5
要旨, 大要,7.6,7,6,9,9,7,7,8,9,8,8
要因, トリガー,6.6,8,6,9,2,8,9,5,9,9,0
スローガン, うたい文句,5.8,5,0,9,8,7,9,6,9,7,10
すべて, 一連,8.4,6,10,9,10,7,4,4,7,8,7
救い, 心やり,6,6,2,8,8,6,3,3,7,6,0
自分自身, 自己,9,9,8,9,10,9,9,9,9,9,10
ひとつながり, 一連,8.6,8,10,9,9,7,6,7,9,8,10
炎天下, 酷暑,8.2,6,9,9,9,8,7,9,9,6,7
基準, 傾向,5,5,1,5,7,7,3,6,5,5,0
群衆, 一般市民,7.4,7,7,7,8,8,5,6,8,6,0
カネ, お金,9.6,10,10,10,9,9,10,10,9,10,10
道, 手段,6,6,0,9,8,7,3,6,8,6,0
生い立ち, 身元,6.2,7,3,9,7,5,7,4,7,7,1
己, 自分自身,8.8,9,7,10,9,9,9,6,9,9,10
筆頭, ホープ,5.4,6,0,8,7,6,7,5,8,7,0
資料, 専門書,5.8,5,5,7,7,5,5,6,7,6,8
短所, 問題点,7,9,4,8,7,7,6,6,6,7,8
メインカラー, 基調,7.4,6,6,9,8,8,6,6,9,7,0
僕, 私,9.4,10,8,10,10,9,9,9,9,10,8
経歴, 出どころ,5.2,6,1,6,7,6,6,7,7,8,7
職業, 勤め,7.4,8,6,8,9,6,7,8,9,8,9
トップ, 総統,7.8,7,8,9,7,8,8,6,9,8,10
原因, 動因,7.6,9,5,9,9,6,6,9,7,7,10
宿命, 天命,8.6,8,10,9,9,7,8,8,9,9,8
基礎, 骨格,3.2,0,0,9,0,7,8,7,8,0,7
一般市民, 国民,7.6,6,6,10,8,8,9,9,9,8,8
きっかけ, 引き金,9,9,10,9,9,8,9,6,9,9,10
筆頭, 皮きり,5,2,2,9,4,8,7,6,1,2,1
きっかけ, 要因,8.6,8,10,9,8,8,9,7,9,9,0
構え, 体勢,6,6,1,9,7,7,5,6,8,8,3
資料, 典拠,6.2,7,2,9,7,6,7,6,7,7,8
ト―ン, カラーリング,4.6,7,3,8,1,4,6,3,5,7,8
正体, 実態,6,7,1,9,8,5,6,7,9,7,5
トップ, 頭,7.8,7,8,9,8,7,7,9,9,9,10
第一番, 先頭,8,6,6,10,10,8,6,8,9,8,10
制服, コスチューム,7.4,7,5,10,7,8,7,9,9,8,10
道, すべ,8.2,6,10,9,8,8,4,7,8,7,6
知識, 頭脳,6.8,6,6,7,8,7,7,6,7,9,6
大筋, 全容,7.8,7,6,8,9,9,8,6,8,9,8
トリガー, 動因,7.8,9,6,9,8,7,9,7,9,9,0
幹部, 重役,8,7,7,9,8,9,8,7,9,9,8
資料, 書籍,6.6,6,6,8,7,6,6,4,7,4,7
皆, 聴衆,6.8,5,5,8,8,8,6,4,8,8,6
業種, 役回り,7.2,7,7,9,7,6,3,4,8,8,6
引き金, 要因,8.2,8,8,9,8,8,8,4,9,10,8
川べり, 河川敷,7.2,8,6,9,6,7,8,5,9,9,8
頭, ホープ,5.2,6,0,8,6,6,3,3,5,9,0
支え, 拠り所,7.2,6,6,9,7,8,8,4,9,8,10
知性, 能力,6.2,6,2,8,8,7,6,6,7,5,7
服, 衣,8.4,8,6,10,10,8,8,8,9,8,10
スタイル, 格好,7.4,8,1,10,9,9,6,9,9,9,9
もの, 物,9.8,10,10,10,9,10,10,10,10,10,10
知恵, 頭脳,8,7,7,9,9,8,7,8,9,8,8
書物, 書籍ソース,6.6,6,6,9,8,4,7,7,9,7,9
手始め, 端緒,7.2,8,2,10,8,8,6,6,9,9,9
始まり, 手始め,7.2,8,3,9,8,8,6,8,9,10,10
寺内, 寺社内,6.6,8,9,9,1,6,9,8,9,9,10
全部, ひとまとまり,8.8,8,10,9,9,8,8,9,9,9,9
残念, 問題,4.8,7,0,8,3,6,3,4,2,5,0
慰め, 心やり,6,7,1,8,9,5,4,5,8,6,9
はじめ, 皮切り,8.4,8,10,9,7,8,5,6,9,8,9
頭, 知的能力,5.8,4,4,8,7,6,4,7,5,5,8
出身, 素性,5.8,6,3,9,3,8,4,7,9,9,9
内容, 議事,5.6,7,4,8,4,5,5,6,0,8,9
衆人, 世間,6.6,7,5,8,5,8,6,5,8,8,9
筆頭, 頭,7,7,3,9,8,8,7,6,8,9,10
概要, 概略,7.2,7,4,9,7,9,8,9,9,10,10
文献, 文物,7.6,6,6,9,10,7,3,9,9,8,8
方法, 術,7.8,8,6,9,9,7,8,9,9,9,10
モノ, 物体,8.6,8,8,10,8,9,8,8,9,9,10
欠点, ウィークポイント,9.2,9,8,10,10,9,9,10,9,9,9
基礎, 背骨,3.4,2,0,9,1,5,6,6,8,0,5
術, 手口,6.2,8,1,8,7,7,4,6,8,8,5
元気, 気休め,2.4,4,1,0,5,2,3,3,0,4,0
庶民, 聴衆,6.8,7,7,9,7,4,7,6,8,8,2
身元, 身分,7.6,8,6,10,6,8,6,7,9,10,8
最初, 第一番,8,8,6,10,8,8,6,6,9,9,10
トップ, リーダー,8,7,6,10,9,8,9,7,9,9,10
頭, 賢さ,6.2,4,5,9,9,4,3,8,5,5,8
やり方, 道筋,7,8,2,9,8,8,7,6,8,8,7
きっかけ, 動因,8.6,9,10,9,8,7,8,7,8,9,8
書籍, 文物,7.4,8,5,9,8,7,6,9,9,6,7
カラー, 色合い,7.8,8,8,9,7,7,7,8,7,9,9
人民, 庶民,8,7,7,10,8,8,8,9,9,9,8
